filename,Staphylococcus - v2 2024-08-28 7-05am
staphylococcus672_jpg.rf.02597c07d1f1f1317bb8883972e755ad.jpg,1
staphylococcus509_jpg.rf.3c17e7ee1dc64e872aec10075b0337c4.jpg,1
staphylococcus318_jpg.rf.adde73f66d9cd2b0477f19a88ffef0c1.jpg,1
staphylococcus584_jpg.rf.8e83ae4b2ae75cc2e35c83b232cd777a.jpg,1
staphylococcus388_jpg.rf.68549a363e7c503c53a3adb2d739707e.jpg,1
staphylococcus369_jpg.rf.78ae3941aece062840b61a7bebb75584.jpg,1
staphylococcus581_jpg.rf.f00991989e30a7dd95d833db7fc7fdb6.jpg,1
staphylococcus459_jpg.rf.783a93d4ccd236a7aa095c022dbbf48f.jpg,1
staphylococcus336_jpg.rf.3b4bf9b392e006fe775b590df12fefeb.jpg,1
staphylococcus401_jpg.rf.8824d6a8c0477198703826b30771a671.jpg,1
staphylococcus582_jpg.rf.709fce4ba83ea79a8c4515ce4d3eeee7.jpg,1
staphylococcus715_jpg.rf.849ebea4aa7620f46290f1d98dccd3a9.jpg,1
staphylococcus716_jpg.rf.6c172c6184fea582beec4f2c29d4a128.jpg,1
staphylococcus342_jpg.rf.be0adc42377423b3414d5b82a542150e.jpg,1
staphylococcus671_jpg.rf.9233ac9e40c1ed5832f2802d57d3a8a5.jpg,1
staphylococcus673_jpg.rf.db684278985850732c651089cfc9b5e9.jpg,1
staphylococcus587_jpg.rf.8777314f1fda07083767497703619c3b.jpg,1
staphylococcus586_jpg.rf.c046e4e0a136b6f8801f6ea052ce2843.jpg,1
staphylococcus674_jpg.rf.8eeb91be89fb3089b4c0c1b8931a4fbb.jpg,1
staphylococcus691_jpg.rf.78aac311e6733fd3e06db990814ef1e4.jpg,1
staphylococcus345_jpg.rf.b123ea108eecbc156ed945d9b7ed2d42.jpg,1
staphylococcus670_jpg.rf.1fdac0a48b854a9dbaf288aee7540e35.jpg,1
staphylococcus683_jpg.rf.b7efcc00a892f05396479ed4fff6d6c2.jpg,1
staphylococcus508_jpg.rf.436fd2cc4fc3f422da927ccbb385e8a5.jpg,1
staphylococcus378_jpg.rf.825854e5555814e2e35b15660f2aa7e6.jpg,1
staphylococcus733_jpg.rf.80a589ba75f0cafacfac99101f0627e3.jpg,1
staphylococcus667_jpg.rf.797c03dca33ceaa5b6fb68d3babbbf96.jpg,1
staphylococcus386_jpg.rf.b23a5e453571926ecb78448b41176456.jpg,1
staphylococcus567_jpg.rf.ed8f16d5b0ad13aa67861d4919a871c0.jpg,1
staphylococcus573_jpg.rf.150a7294dfbc49679be1a89320ae9cf8.jpg,1
staphylococcus585_jpg.rf.6a11e614696b418fc4788d99fa38527b.jpg,1
staphylococcus665_jpg.rf.f9ce46f7cb89ea316dc56c9929a49a2e.jpg,1
staphylococcus473_jpg.rf.f080a34951857bcb4bd32836da392ebf.jpg,1
staphylococcus685_jpg.rf.495342a0f37a73ecfa92bedf885764b8.jpg,1
staphylococcus533_jpg.rf.758773be59de4d66fc3ff4b0084272ec.jpg,1
staphylococcus497_jpg.rf.d07fbe911b25d49650ca626c96060deb.jpg,1
staphylococcus350_jpg.rf.c7ab4e1d71d264c81382a219e760d490.jpg,1
staphylococcus367_jpg.rf.2e0e2f0f282236d3d7d324343fc790a1.jpg,1
staphylococcus742_jpg.rf.3352d11eef08870a836f9cd553219153.jpg,1
staphylococcus344_jpg.rf.6f2085f7a06b2576ad6aacf526a639bb.jpg,1
staphylococcus668_jpg.rf.81ee1db526f5d1e28a928f9bf14cfd27.jpg,1
staphylococcus743_jpg.rf.60872f98ed7250d60f51535238025b80.jpg,1
staphylococcus427_jpg.rf.a00017b77e7f339d9023ae317f8eca44.jpg,1
staphylococcus516_jpg.rf.596415bf92f92ac18b2fe42819eae3fa.jpg,1
staphylococcus695_jpg.rf.2118080eb539899776606808f045c64b.jpg,1
staphylococcus322_jpg.rf.74bc84a58e69f1a91dc84332d345da0e.jpg,1
staphylococcus709_jpg.rf.326e319be3bc81326069ead5f3f8f206.jpg,1
staphylococcus712_jpg.rf.f7e7f243b9273ac526cd3ff877a8ff59.jpg,1
staphylococcus690_jpg.rf.ab95ebb79dd111e66894b9ea29befbfa.jpg,1
staphylococcus574_jpg.rf.36ca0127cf75ed0bdb91bbd0ec98c13f.jpg,1
staphylococcus669_jpg.rf.96467be49ea279ddd6b38912d53b7c19.jpg,1
staphylococcus535_jpg.rf.acbcfaf1a1881519e7e2dee2fd97632e.jpg,1
staphylococcus515_jpg.rf.43cb1151248c8a07dc32e1ccad8f607f.jpg,1
staphylococcus572_jpg.rf.70c99f22873ac6ed88a81e8a0dd6cd79.jpg,1
staphylococcus726_jpg.rf.f11f259d293ec16764c6b9b4cc411b76.jpg,1
staphylococcus540_jpg.rf.137cbc3542ab7a92922acd3fcf8f08c9.jpg,1
staphylococcus578_jpg.rf.b7a38eb6b4dec0264cc7dfca70a85cfb.jpg,1
staphylococcus710_jpg.rf.fb5594bf68371e9a53504722cfbb9f95.jpg,1
staphylococcus729_jpg.rf.cfa2bd3409a005f7923f66f626554898.jpg,1
staphylococcus676_jpg.rf.27fa30cd8cf8caae0b23d6d924e0c284.jpg,1
staphylococcus354_jpg.rf.ce2df1cffdc04c5c51977ea6dc031abb.jpg,1
staphylococcus577_jpg.rf.6deb103064548890dccb32f195f499d5.jpg,1
staphylococcus365_jpg.rf.057c01562202565f08005aeca200ccfc.jpg,1
staphylococcus664_jpg.rf.1c81bc29c319ac4a8381265ab2ecd955.jpg,1
staphylococcus687_jpg.rf.c4649e0424b8c765fad74d1defb354f3.jpg,1
staphylococcus737_jpg.rf.3164de46b298104dcc5dcbeb1b75dfde.jpg,1
staphylococcus751_jpg.rf.fe3be221eae17869e754be6b19882510.jpg,1
staphylococcus688_jpg.rf.e255d285454cab838f4669b46c493e25.jpg,1
staphylococcus693_jpg.rf.7995e83a646e14da14187f39d15074ea.jpg,1
staphylococcus438_jpg.rf.083c8a347742f7bd50786ac1312d8332.jpg,1
staphylococcus576_jpg.rf.7e0f431eede06eef06681d552e5caf1b.jpg,1
